question_id,reply_type,text,task_id
BMSB.INST.Q1,5,Sono presenti siepi e bordure nel raggio di 200m?,2
BMSB.INST.Q2,4,Quali tipi di siepi e bordure sono presenti?,2
BMSB.INST.Q3,5,Sono presenti giardini e boschetti nel raggio di 200m?,2
BMSB.INST.Q4,4,Quali tipi di giardini e boschetti sono presenti?,2
BMSB.INST.Q5,5,Sono presenti fabbricati ad uso agricolo nel raggio di 200m?,2
BMSB.INST.Q6,5,Quanti fabbricati ad uso agricolo sono presenti?,2
BMSB.INST.Q7,5,Sono presenti fabbricati ad uso abitativo nel raggio di 200m?,2
BMSB.INST.Q8,5,Quanti fabbricati ad uso abitativo sono presenti?,2
BMSB.INST.Q9,5,Sono presenti colture estensive nel raggio di 200m?,2
BMSB.INST.Q10,4,Quali tipi di colture estensive sono presenti?,2
BMSB.INST.Q11,5,Sono presenti colture arboree nel raggio di 200m?,2
BMSB.INST.Q12,4,Quali tipi di colture arboree sono presenti?,2
BMSB.INST.Q13,5,Sono presenti argini e canali nel raggio di 200m?,2
BMSB.INST.Q14,4,Quali argini e canali sono presenti?,2
BMSB.PASS.Q2,5,"Sono presenti predatori all'interno della trappola che possono avere asportato delle cimici (ortopteri, formiche, forficule)?",3
BMSB.PASS.Q1,5,Qual è lo stato della trappola?,3
BMSB.PASS.Q3,5,Che tipo di monitoraggio vuoi effettuare?,3
BMSB.PASS.Q4,7,Adulti,3
BMSB.PASS.Q5,7,Ovature,3
BMSB.PASS.Q6,7,Ovatura schiusa,3
BMSB.PASS.Q7,7,Giovani II - III (small),3
BMSB.PASS.Q8,7,Giovani IV - V (large),3
BMSB.PASS.Q9,7,Altri pentatomidi,3
BMSB.PASS.Q10,7,Adulti maschi,3
BMSB.PASS.Q11,7,Adulti femmine,3
BMSB.PASS.Q12,7,Ovature,3
BMSB.PASS.Q13,7,Ovatura schiusa (include la I),3
BMSB.PASS.Q14,7,Giovani II,3
BMSB.PASS.Q15,7,Giovani III,3
BMSB.PASS.Q16,7,Giovani IV,3
BMSB.PASS.Q17,7,Giovani V,3
BMSB.PASS.Q18,7,Altri pentatomidi,3
BMSB.ACT.Q1,6,Di quale categoria vuoi fare il monitoraggio?,4
BMSB.ACT.Q3,5,Che tipo di monitoraggio vuoi effettuare?,4
BMSB.ACT.Q4,7,Adulti,4
BMSB.ACT.Q5,7,Ovature,4
BMSB.ACT.Q6,7,Ovatura schiusa,4
BMSB.ACT.Q7,7,Giovani II - III (small),4
BMSB.ACT.Q8,7,Giovani IV - V (large),4
BMSB.ACT.Q9,7,Altri pentatomidi,4
BMSB.ACT.Q10,7,Adulti maschi,4
BMSB.ACT.Q11,7,Adulti femmine,4
BMSB.ACT.Q12,7,Ovature,4
BMSB.ACT.Q13,7,Ovatura schiusa (include la I),4
BMSB.ACT.Q14,7,Giovani II,4
BMSB.ACT.Q15,7,Giovani III,4
BMSB.ACT.Q16,7,Giovani IV,4
BMSB.ACT.Q17,7,Giovani V,4
BMSB.ACT.Q18,7,Altri pentatomidi,4
BMSB.INSTNEW.Q1,8,Qual è la data in cui è stata effettuata l'installazione?,5
BMSB.INSTNEW.Q2,5,Sono presenti siepi e bordure nel raggio di 200m?,5
BMSB.INSTNEW.Q3,4,Quali tipi di siepi e bordure sono presenti?,5
BMSB.INSTNEW.Q4,5,Sono presenti giardini e boschetti nel raggio di 200m?,5
BMSB.INSTNEW.Q5,4,Quali tipi di giardini e boschetti sono presenti?,5
BMSB.INSTNEW.Q6,5,Sono presenti fabbricati ad uso agricolo nel raggio di 200m?,5
BMSB.INSTNEW.Q7,5,Quanti fabbricati ad uso agricolo sono presenti?,5
BMSB.INSTNEW.Q8,5,Sono presenti fabbricati ad uso abitativo nel raggio di 200m?,5
BMSB.INSTNEW.Q9,5,Quanti fabbricati ad uso abitativo sono presenti?,5
BMSB.INSTNEW.Q10,5,Sono presenti colture estensive nel raggio di 200m?,5
BMSB.INSTNEW.Q11,4,Quali tipi di colture estensive sono presenti?,5
BMSB.INSTNEW.Q12,5,Sono presenti colture arboree nel raggio di 200m?,5
BMSB.INSTNEW.Q13,4,Quali tipi di colture arboree sono presenti?,5
BMSB.INSTNEW.Q14,5,Sono presenti argini e canali nel raggio di 200m?,5
BMSB.INSTNEW.Q15,4,Quali argini e canali sono presenti?,5
BMSB.INSTNEW.Q16,10,Quale percetuale di area è coperta da vegetazione spontenea?,5
BMSB.PASSNEW.Q1,8,Qual è la data in cui è stato effettuato il monitoraggio?,6
BMSB.PASSNEW.Q2,5,Qual è lo stato della trappola?,6
BMSB.PASSNEW.Q3,7,Adulti,6
BMSB.PASSNEW.Q4,7,Giovani II - III (small),6
BMSB.PASSNEW.Q5,7,Giovani IV - V (large),6
BMSB.ACTNEW.Q1,8,Qual è la data in cui è stato effettuato il monitoraggio?,7
BMSB.ACTNEW.Q2,6,Quale scenario vuoi utilizzare?,7
BMSB.ACTNEW.Q3,7,Adulti,7
BMSB.ACTNEW.Q4,7,Giovani II - III (small),7
BMSB.ACTNEW.Q5,7,Giovani IV - V (large),7
BMSB.ACTNEW.Q6,7,Altri pentatomidi,7
BMSB.SCENNEW.Q1,5,Qual è il tipo dello scenario?,8
BMSB.SCENNEW.Q2,9,Quali categorie vuoi includere?,8
BMSB.SCENNEW.Q3,11,Inserisci un nome riconoscibile per lo scenario,8
