togo_id,timestamp_assignment,timestamp_end,timestamp_completed,task_id,gid
698,2020-05-11 00:00:00.000,2020-05-16 23:59:59.000,2020-05-15 17:05:27.413,3,93
7807,2021-05-03 00:00:00.000,2021-05-09 23:59:59.000,2021-05-04 00:00:00.000,6,361
2619,2020-08-10 00:00:00.000,2020-08-16 23:59:59.000,2020-08-16 19:27:49.488,3,127
8022,2021-05-10 00:00:00.000,2021-05-16 23:59:59.000,2021-05-14 00:00:00.000,6,479
8283,2021-05-21 10:50:05.000,2021-05-21 10:50:05.000,2021-05-21 10:50:05.000,7,461
8456,2021-05-25 13:44:10.000,2021-05-25 13:44:10.000,2021-05-25 13:44:10.000,7,399
8531,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-04 00:00:00.000,6,404
2966,2020-08-24 00:00:00.000,2020-08-30 23:59:59.000,,3,176
122,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-23 13:33:05.425,2,24
123,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-23 15:06:06.311,2,25
124,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-23 16:09:56.974,2,26
126,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-23 17:25:55.642,2,28
132,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-23 18:02:32.178,2,34
163,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-27 10:31:01.112,2,65
166,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-27 13:51:10.639,2,68
165,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-27 15:48:18.442,2,67
182,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-27 16:48:12.013,2,84
176,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-28 10:04:22.709,2,78
171,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-28 11:36:04.800,2,73
184,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-28 12:08:25.643,2,86
181,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-29 10:02:59.590,2,83
186,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-29 15:19:17.740,2,88
131,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-30 08:40:56.864,2,33
135,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-30 09:54:18.521,2,37
189,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-30 11:16:47.614,2,91
168,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-30 15:15:23.833,2,70
134,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-30 16:22:16.015,2,36
169,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-04-30 17:00:27.761,2,71
179,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-05-02 17:15:02.214,2,81
188,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-05-03 11:17:38.310,2,90
187,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-05-04 09:31:19.608,2,89
140,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-05-06 11:47:45.189,2,42
170,2020-04-16 08:00:00.000,2020-06-30 23:59:59.000,2020-05-06 11:56:38.656,2,72
3944,2020-10-12 00:00:00.000,2020-10-18 23:59:59.000,2020-10-15 12:00:47.619,3,69
7757,2021-05-03 00:00:00.000,2021-05-09 23:59:59.000,2021-05-04 00:00:00.000,6,252
7992,2021-05-10 00:00:00.000,2021-05-16 23:59:59.000,2021-05-14 00:00:00.000,6,454
8168,2021-05-17 00:00:00.000,2021-05-23 23:59:59.000,2021-05-19 00:00:00.000,6,359
8457,2021-05-27 12:21:35.000,2021-05-27 12:21:35.000,2021-05-27 12:21:35.000,7,461
8562,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,,6,469
8566,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-05-31 00:00:00.000,6,467
8533,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-05-31 00:00:00.000,6,427
8549,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-05-31 00:00:00.000,6,431
8576,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-01 00:00:00.000,6,461
8550,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-01 00:00:00.000,6,432
8564,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-01 00:00:00.000,6,450
8557,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-02 00:00:00.000,6,490
8545,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-02 00:00:00.000,6,428
8546,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-02 00:00:00.000,6,429
8548,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-02 00:00:00.000,6,424
8544,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-02 00:00:00.000,6,425
8569,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-02 00:00:00.000,6,460
8552,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-05-31 00:00:00.000,6,437
8553,2021-05-31 00:00:00.000,2021-06-06 23:59:59.000,2021-06-01 00:00:00.000,6,439
