gid,geometry,name,district,ms_id,monitoring_started,monitoring_ended
203,"""SRID=4326;POINT(11.8455944 44.374285)""",RA20,RA,6,2020-04-19,2020-10-19
144,"""SRID=4326;POINT(11.055335 44.658671)""",MO01,MO,6,2020-04-19,2020-10-19
177,"""SRID=4326;POINT(10.7953679 44.8596503)""",MO34,RE,6,2020-04-19,2020-10-19
153,"""SRID=4326;POINT(11.0678857 44.8315706)""",MO10,MO,6,2020-04-19,2020-10-19
208,"""SRID=4326;POINT(11.9807318 44.2759182)""",RA25,RA,6,2020-04-19,2020-10-19
36,"""SRID=4326;POINT(11.4466725 44.6446617)""",BO13,BO,6,2020-04-19,2020-10-19
40,"""SRID=4326;POINT(11.606561 44.365355)""",BO17,BO,6,2020-04-19,2020-10-19
41,"""SRID=4326;POINT(11.7350908 44.3627714)""",BO18,BO,6,2020-04-19,2020-10-19
42,"""SRID=4326;POINT(11.7247896 44.4381481)""",BO19,BO,6,2020-04-19,2020-10-19
28,"""SRID=4326;POINT(11.6612 44.6385)""",BO05,BO,6,2020-04-19,2020-10-19
81,"""SRID=4326;POINT(11.5998239 44.7847172)""",FE18,FE,6,2020-04-19,2020-10-19
252,"""SRID=4326;POINT(11.6616808 44.63867)""",BO05,BO,9,2021-02-22,2021-10-25
215,"""SRID=4326;POINT(11.8519204 44.3241299)""",RA32,RA,6,2020-04-19,2020-10-19
207,"""SRID=4326;POINT(11.8383403 44.2971872)""",RA24,RA,6,2020-04-19,2020-10-19
162,"""SRID=4326;POINT(10.8154032 44.5753089)""",MO19,MO,6,2020-04-19,2020-10-19
85,"""SRID=4326;POINT(11.7371689 44.7230992)""",FE22,FE,6,2020-04-19,2020-10-19
72,"""SRID=4326;POINT(11.5190763 44.8444582)""",FE09,FE,6,2020-04-19,2020-10-19
80,"""SRID=4326;POINT(11.8478407 44.9187958)""",FE17,FE,6,2020-04-19,2020-10-19
30,"""SRID=4326;POINT(11.7551899 44.336251)""",BO07,BO,6,2020-04-19,2020-10-19
217,"""SRID=4326;POINT(12.0213887 44.4009673)""",RA34,RA,6,2020-04-19,2020-10-19
31,"""SRID=4326;POINT(11.7643723 44.3837495)""",BO08,BO,6,2020-04-19,2020-10-19
24,"""SRID=4326;POINT(11.5442306 44.6481024)""",BO01,BO,6,2020-04-19,2020-10-19
25,"""SRID=4326;POINT(11.4410885 44.752284)""",BO02,BO,6,2020-04-19,2020-10-19
27,"""SRID=4326;POINT(11.3904419 44.7665725)""",BO04,BO,6,2020-04-19,2020-10-19
26,"""SRID=4326;POINT(11.4216152 44.7257191)""",BO03,BO,6,2020-04-19,2020-10-19
39,"""SRID=4326;POINT(11.66873 44.358658)""",BO16,BO,6,2020-04-19,2020-10-19
29,"""SRID=4326;POINT(11.661497 44.6387434)""",BO06,BO,6,2020-04-19,2020-10-19
34,"""SRID=4326;POINT(11.6041706 44.6299269)""",BO11,BO,6,2020-04-19,2020-10-19
32,"""SRID=4326;POINT(11.6487917 44.3730931)""",BO09,BO,6,2020-04-19,2020-10-19
202,"""SRID=4326;POINT(12.0080215 44.4321667)""",RA19,RA,6,2020-04-19,2020-10-19
172,"""SRID=4326;POINT(10.7050737 44.6134389)""",MO29,RE,6,2020-04-19,2020-10-19
33,"""SRID=4326;POINT(11.4477414 44.756019)""",BO10,BO,6,2020-04-19,2020-10-19
35,"""SRID=4326;POINT(11.4468115 44.7577221)""",BO12,BO,6,2020-04-19,2020-10-19
37,"""SRID=4326;POINT(11.4468115 44.7577221)""",BO14,BO,6,2020-04-19,2020-10-19
38,"""SRID=4326;POINT(11.3658357 44.6639291)""",BO15,BO,6,2020-04-19,2020-10-19
146,"""SRID=4326;POINT(11.1150806 44.7554526)""",MO03,MO,6,2020-04-19,2020-10-19
185,"""SRID=4326;POINT(11.949154 44.486892)""",RA02,RA,6,2020-04-19,2020-10-19
187,"""SRID=4326;POINT(11.874265 44.490924)""",RA04,RA,6,2020-04-19,2020-10-19
214,"""SRID=4326;POINT(11.8631919 44.3205647)""",RA31,RA,6,2020-04-19,2020-10-19
197,"""SRID=4326;POINT(12.039131 44.4316903)""",RA14,RA,6,2020-04-19,2020-10-19
216,"""SRID=4326;POINT(11.9203651 44.4467455)""",RA33,RA,6,2020-04-19,2020-10-19
219,"""SRID=4326;POINT(11.9900622 44.390587)""",RA36,RA,6,2020-04-19,2020-10-19
145,"""SRID=4326;POINT(10.8743731 44.7297694)""",MO02,MO,6,2020-04-19,2020-10-19
147,"""SRID=4326;POINT(11.0281686 44.6307747)""",MO04,MO,6,2020-04-19,2020-10-19
113,"""SRID=4326;POINT(12.0263391 44.404618)""",FC10,RA,6,2020-04-19,2020-10-19
114,"""SRID=4326;POINT(12.0662778 44.413179)""",FC11,RA,6,2020-04-19,2020-10-19
115,"""SRID=4326;POINT(12.0800003 44.4080381)""",FC12,RA,6,2020-04-19,2020-10-19
149,"""SRID=4326;POINT(11.3307687 44.8403288)""",MO06,MO,6,2020-04-19,2020-10-19
218,"""SRID=4326;POINT(12.0012574 44.3938559)""",RA35,RA,6,2020-04-19,2020-10-19
119,"""SRID=4326;POINT(12.0513256 44.3654617)""",FC16,RA,6,2020-04-19,2020-10-19
195,"""SRID=4326;POINT(11.8564744 44.4316841)""",RA12,RA,6,2020-04-19,2020-10-19
191,"""SRID=4326;POINT(11.870767 44.4302686)""",RA08,RA,6,2020-04-19,2020-10-19
199,"""SRID=4326;POINT(11.964547 44.3216077)""",RA16,RA,6,2020-04-19,2020-10-19
169,"""SRID=4326;POINT(10.8495501 44.9006889)""",MO26,RE,6,2020-04-19,2020-10-19
190,"""SRID=4326;POINT(11.8780366 44.5405295)""",RA07,RA,6,2020-04-19,2020-10-19
206,"""SRID=4326;POINT(11.8774436 44.3101502)""",RA23,RA,6,2020-04-19,2020-10-19
204,"""SRID=4326;POINT(11.9167079 44.3496806)""",RA21,RA,6,2020-04-19,2020-10-19
