cid,category,environmental_element (manual)
315,Colture arboree,Paulownia
316,Colture arboree,Susino
317,Colture estensive,Soia
318,Siepi e bordure,"Bacche (Cornus, Rhamnus frangula, Viburnum)"
319,Siepi e bordure,Edera
320,Colture arboree,Altra coltura arborea
321,Colture arboree,Melo
322,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
323,Giardini e boschetti,Salicacee (pioppo e salice)
324,Argini e canali,Fossi e scoline
325,Giardini e boschetti,Catalpa e Paulownia
326,Giardini e boschetti,"Piante da frutto (fico, caco, pomacee e drupacee)"
327,Colture arboree,Pioppo
328,Siepi e bordure,"Pomacee (Pyracantha, Crataegus, Cotoneaster)"
329,Siepi e bordure,Altra siepe o bordura
330,Colture arboree,Pero
331,Colture estensive,Altra coltura estensiva
332,Giardini e boschetti,"Fagacee, Ulmacee, Malvales (quercia, olmo, tiglio)"
333,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
334,Colture arboree,Caco
335,Colture arboree,Noce
336,Colture arboree,Vite
337,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
338,Colture arboree,Susino
339,Siepi e bordure,Nocciolo
340,Argini e canali,Argine canale
341,Siepi e bordure,Drupe tardive (Ligustrum)
342,Colture estensive,Cereali autunno-vernini
343,Colture arboree,Ciliegio
344,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
345,Siepi e bordure,Gelso (Morus)
346,Argini e canali,Argine fiume
347,Giardini e boschetti,Sempreverdi
348,Colture estensive,Pomodoro
349,Colture estensive,Orticole
350,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
351,Colture estensive,Altra coltura estensiva
352,Siepi e bordure,"Pomacee (Pyracantha, Crataegus, Cotoneaster)"
353,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
354,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
355,Argini e canali,Argine fiume
356,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
357,Argini e canali,Laghetti e bacini irrigui
358,Giardini e boschetti,"Fagacee, Ulmacee, Malvales (quercia, olmo, tiglio)"
359,Colture arboree,Pesco e nettarino
360,Colture estensive,Colza
361,Colture estensive,Orticole
362,Siepi e bordure,"Samare e disamare (Acer, Fraxinus, Ailanthus)"
363,Giardini e boschetti,Altro giardino o boschetto
364,Colture arboree,Ciliegio
365,Siepi e bordure,Gelso (Morus)
366,Colture estensive,Mais
367,Colture arboree,Albicocco
368,Siepi e bordure,Nocciolo
369,Argini e canali,Fossi e scoline
370,Argini e canali,Argine canale
371,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
372,Siepi e bordure,Edera
373,Colture arboree,Vite
374,Colture arboree,Melo
375,Siepi e bordure,"Samare e disamare (Acer, Fraxinus, Ailanthus)"
376,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
377,Colture arboree,Pesco e nettarino
378,Colture arboree,Actinidia
379,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
380,Giardini e boschetti,Sempreverdi
381,Siepi e bordure,Drupe precoci (Prunus)
382,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
383,Colture estensive,Cereali autunno-vernini
384,Colture estensive,Leguminose
385,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
386,Giardini e boschetti,Altro giardino o boschetto
387,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
388,Colture estensive,Leguminose
389,Siepi e bordure,Drupe precoci (Prunus)
390,Giardini e boschetti,"Piante da frutto (fico, caco, pomacee e drupacee)"
391,Argini e canali,Altro argine o canale
392,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
393,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
394,Colture arboree,Noce
395,Colture arboree,Paulownia
396,Colture estensive,Pomodoro
397,Siepi e bordure,Drupe tardive (Ligustrum)
398,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
399,Giardini e boschetti,Catalpa e Paulownia
400,Argini e canali,Laghetti e bacini irrigui
401,Colture arboree,Actinidia
402,Colture arboree,Pero
403,Colture arboree,Caco
404,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
405,Fabbricati ad uso abitativo,Fabbricato ad uso abitativo
406,Fabbricati ad uso agricolo,Fabbricato ad uso agricolo
407,Colture arboree,Albicocco
408,Colture estensive,Mais
409,Siepi e bordure,Altra siepe o bordura
410,Siepi e bordure,"Bacche (Cornus, Rhamnus frangula, Viburnum)"
411,Giardini e boschetti,Salicacee (pioppo e salice)
412,Colture estensive,Soia
0,Nessuno,Nessuno
413,Colture estensive,Colza
