water_course_id,praenomen,usage,culverted
1,RAMO EST CAVO,Draining,Uncovered
2,CONDOTTO,Draining,Covered
3,ALLACCIANTE,Mixed (mainly draining),Uncovered
4,DUGARA,Mixed (mainly irrigation),Uncovered
5,TERZIARIO,Mixed (mainly draining),Covered
6,FOSSETTA,Mixed (mainly draining),Uncovered
7,DIRAMAZIONE,Mixed (mainly irrigation),Covered
8,IRRIGATORIO,Mixed (mainly draining),Uncovered
9,CONDOTTO,Irrigation,Uncovered
10,FOSSA,Draining,Uncovered
11,SCARICO,Mixed (mainly irrigation),Uncovered
12,RAMO,Draining,Covered
13,FOSSETTO,Mixed (mainly draining),Uncovered
14,CANALETTO,Mixed (mainly irrigation),Covered
15,COLLEGAMENTO,Draining,Uncovered
16,PROLUNGAMENTO A MONTE CANALE,Mixed (mainly draining),Covered
17,ALLACCIANTE,Mixed (mainly irrigation),Covered
18,DUGARA,Mixed (mainly draining),Covered
19,TERZIARIO,Mixed (mainly irrigation),Uncovered
20,COLLETTORE,Mixed (mainly draining),Uncovered
21,SCOLMATORE,Draining,Covered
22,DIRAMAZIONE,Mixed (mainly draining),Uncovered
23,CONDOTTA,Draining,Covered
24,CANALAZZO,Draining,Uncovered
25,SCARICATORE,Mixed (mainly draining),Uncovered
26,SCARICO,Mixed (mainly draining),Covered
27,DIRAMATORE,Draining,Uncovered
28,SCOLETTO,Draining,Uncovered
29,CONDOTTA,Irrigation,Uncovered
30,CANALETTO,Mixed (mainly draining),Uncovered
31,FOSSATONCELLO,Mixed (mainly draining),Uncovered
32,CANALAZZO,Draining,Covered
33,SCARICATORE,Mixed (mainly draining),Covered
34,FOSSETTA,Mixed (mainly irrigation),Uncovered
35,SCOLMATORE,Draining,Uncovered
36,DIRAMAZIONE,Mixed (mainly draining),Covered
37,IRRIGATORIO,Mixed (mainly irrigation),Uncovered
38,TRAVERSANTE,Mixed (mainly draining),Uncovered
39,CAVETTO,Mixed (mainly draining),Uncovered
40,COLLETTORE,Mixed (mainly draining),Covered
41,ALLACCIANTE,Mixed (mainly irrigation),Uncovered
42,DUGARA,Mixed (mainly draining),Uncovered
43,TERZIARIO,Mixed (mainly irrigation),Covered
44,DIRAMATORE,Irrigation,Uncovered
45,CONDOTTA,Irrigation,Covered
46,CANALETTO,Mixed (mainly draining),Covered
47,FOSSONE,Mixed (mainly draining),Uncovered
48,SCARICO,Mixed (mainly draining),Uncovered
49,TORRENTE,Mixed (mainly draining),Uncovered
50,DIRAMAZIONE,Mixed (mainly irrigation),Uncovered
51,ARIAZZO,Draining,Covered
52,SCARICATORE,Mixed (mainly irrigation),Uncovered
53,FOSSADONE,Mixed (mainly draining),Uncovered
54,FOSSETTA,Mixed (mainly draining),Covered
55,ALLACCIANTE,Mixed (mainly draining),Covered
56,FOSSA,Irrigation,Uncovered
57,TERZIARIO,Mixed (mainly draining),Uncovered
58,RAMO EST CAVO,Draining,Covered
59,CONDOTTO,Draining,Uncovered
60,CANALETTO,Mixed (mainly irrigation),Uncovered
61,DUGALETTO,Mixed (mainly draining),Uncovered
62,FOSSA,Draining,Covered
63,SCARICO,Mixed (mainly irrigation),Covered
64,RAMO,Draining,Uncovered
65,CONDOTTO,Irrigation,Covered
66,CANALE,Draining,Covered
67,DUGARO,Mixed (mainly draining),Uncovered
68,TUBAZIONE,Draining,Covered
69,AFFLUENTE,Draining,Uncovered
70,FOSSATONE,Mixed (mainly draining),Covered
71,CAVO,Mixed (mainly irrigation),Covered
72,CANALETTA,Irrigation,Covered
73,CANALE,Irrigation,Uncovered
74,FOSSO,Mixed (mainly draining),Covered
75,SCOLO,Mixed (mainly draining),Uncovered
76,CANALETTA,Draining,Uncovered
77,IRRIGATORE,Irrigation,Uncovered
78,CANALINO,Mixed (mainly irrigation),Uncovered
79,DISTRIBUTORE,Mixed (mainly draining),Uncovered
80,DIVERSIVO,Mixed (mainly draining),Covered
81,CANALA,Draining,Covered
82,CANALINA,Mixed (mainly draining),Covered
83,CAVO,Mixed (mainly draining),Uncovered
84,SCALOPPIA,Draining,Uncovered
85,Canale,,
