gid,water_course_id
309,200
399,173
114,75
313,173
333,123
478,187
363,236
332,133
409,229
155,229
213,111
314,133
301,182
117,111
250,114
426,133
82,75
218,111
150,213
323,133
481,187
26,75
312,236
318,200
28,75
268,111
327,133
483,200
370,236
486,111
162,229
312,222
362,236
216,66
310,200
119,236
356,236
110,75
455,111
94,222
428,6
122,236
433,221
28,200
174,73
146,6
72,75
29,75
411,73
315,75
151,116
146,54
205,187
406,173
437,116
486,116
173,83
65,133
34,200
219,200
404,213
144,83
29,200
250,75
175,6
193,111
428,229
466,111
81,75
34,75
170,83
84,200
87,133
26,114
170,73
357,111
214,187
176,73
477,111
324,3
429,83
90,3
126,236
431,73
429,73
145,173
432,73
328,133
252,200
204,187
191,200
154,189
650,218
438,51
66,75
428,9
203,200
316,75
157,73
371,101
79,173
321,173
398,83
651,213
66,200
405,116
252,75
331,133
457,111
172,133
457,66
174,9
304,9
94,133
86,222
299,133
485,200
364,236
332,173
155,165
409,165
398,203
429,6
80,133
171,173
24,114
434,73
485,111
105,236
333,75
404,229
371,87
175,73
70,9
320,222
175,83
361,111
400,54
174,229
152,173
425,173
97,133
222,111
93,133
257,75
467,200
480,111
407,54
144,203
153,54
220,187
257,200
309,133
424,83
89,133
78,236
469,187
424,73
222,116
174,6
188,200
216,111
78,222
300,75
150,229
400,6
328,222
416,229
177,73
24,75
358,75
484,187
353,236
87,173
468,187
85,229
300,200
438,230
306,75
408,189
113,111
178,73
221,111
423,200
487,66
67,182
112,236
430,73
319,229
430,83
423,75
482,111
321,133
107,236
476,236
169,75
90,133
324,133
433,203
258,236
221,200
201,111
366,236
259,75
25,0
30,0
31,0
32,0
36,0
38,0
39,0
40,0
41,0
64,0
68,0
69,0
71,0
73,0
77,0
83,0
88,0
91,0
92,0
95,0
104,0
106,0
108,0
111,0
115,0
128,0
147,0
148,0
149,0
156,0
158,0
159,0
160,0
161,0
163,0
164,0
185,0
194,0
196,0
197,0
198,0
199,0
200,0
206,0
207,0
208,0
211,0
215,0
248,0
249,0
251,0
253,0
254,0
255,0
256,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
298,0
302,0
303,0
305,0
307,0
308,0
311,0
317,0
322,0
325,0
326,0
329,0
330,0
334,0
335,0
348,0
349,0
350,0
351,0
352,0
354,0
355,0
359,0
360,0
365,0
373,0
401,0
402,0
403,0
410,0
412,0
413,0
414,0
415,0
418,0
427,0
439,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
456,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
470,0
471,0
472,0
473,0
475,0
479,0
488,0
489,0
490,0
491,0
492,0
493,0
652,0
42,0
217,0
27,0
202,0
33,0
35,0
37,0
187,0
195,0
190,0
189,0
192,0
210,0
186,0
116,0
184,0
212,0
209,0
127,0
123,0
223,0
417,0
814,54
692,200
806,173
756,133
812,116
691,187
880,236
709,236
836,6
811,213
769,114
823,229
769,75
830,75
755,236
811,229
773,200
780,75
805,203
807,6
755,75
845,51
838,73
835,6
833,133
837,73
684,111
818,39
835,9
844,116
813,173
905,190
773,75
831,73
692,111
757,75
695,200
885,87
831,83
741,133
779,75
690,200
683,236
845,230
832,173
834,83
835,73
839,73
756,75
696,200
805,83
841,73
836,83
840,221
835,229
836,73
807,54
685,187
884,236
903,218
779,200
840,203
815,189
885,101
771,114
694,137
774,75
806,73
814,6
771,75
756,200
818,73
655,0
658,0
661,0
668,0
672,0
679,0
686,0
689,0
693,0
700,0
701,0
702,0
704,0
705,0
706,0
707,0
708,0
712,0
713,0
715,0
754,0
770,0
772,0
775,0
776,0
777,0
778,0
784,0
785,0
786,0
787,0
808,0
809,0
810,0
817,0
819,0
820,0
821,0
822,0
824,0
825,0
826,0
846,0
862,0
864,0
865,0
866,0
868,0
887,0
888,0
904,0
863,0
