crop_id,crop_type
1,MELONE
2,PICCOLI FRUTTI
3,CEREALE INVERNALE
4,ALBICOCCO
5,PRATO POLIFITA
6,SORGO
7,COLZA
8,INDUSTRIALI
9,COCOMERO
10,SOIA
11,FORAGGIO
12,FRUTTETI MISTI
13,GIRASOLE
14,FIORI
15,FAVA
16,VIVAIO
17,FORAGGIO IRRIGUO
18,LEGUMINOSE
19,PERO
20,LEGUMINOSE IRRIGUE
21,BIETOLA
22,RISO
23,FAGIOLINO
24,OLIVO
25,ORTICOLE
26,ERBA MEDICA
27,ORTICOLE NON IRRIGUE
28,CIPOLLA
29,SUSINO
30,AGLIO
31,KAKI
32,BIETOLA DA SEME
33,ARBOREE
34,INDUSTRIALI IRRIGUE
35,VITE
36,ASPARAGO
37,TABACCO
38,POMODORO
39,SIEPI
40,CILIEGIO
41,EXTRA COLTURE
42,MAIS
43,PATATA
44,ACTINIDIA
45,PESCO
46,FRAGOLA
47,MELO
0,Nessuno
48,COLTURE DA SEME
49,ORTICOLE > 60GG CICLO ESTIVO
50,PISELLO DA INDUSTRIA
51,ORTICOLE > 60GG CICLO INVERNALE
52,NOCE
53,ORTICOLE < 60GG
