gid,crop_id
206,40
209,35
128,25
114,45
38,26
197,45
80,3
208,19
112,33
218,23
31,41
201,31
65,10
171,19
169,39
110,3
89,41
175,3
160,41
157,12
66,41
164,25
126,42
28,3
222,19
94,3
92,19
210,31
108,33
97,4
30,3
220,18
122,3
158,25
172,26
191,41
158,26
36,19
35,39
221,33
117,45
174,19
39,41
154,39
119,35
107,33
200,19
210,11
223,12
221,25
113,33
72,41
93,7
209,44
206,19
127,45
184,33
71,41
158,33
186,29
86,19
107,25
148,40
82,43
122,45
173,39
107,26
117,3
177,41
218,35
186,41
185,3
145,41
30,45
37,26
127,1
162,45
196,43
64,29
65,25
173,31
64,41
150,39
163,41
104,41
198,41
212,12
108,26
198,29
204,45
108,25
163,29
32,33
213,35
26,35
110,45
192,42
211,47
214,44
83,47
78,10
223,39
193,41
90,42
216,33
127,4
42,42
79,42
88,11
144,31
173,12
88,39
155,3
81,42
219,42
73,47
40,47
70,19
144,39
27,35
162,4
128,33
30,4
38,33
199,19
36,40
34,41
97,3
146,41
195,45
205,3
197,3
112,25
83,15
208,13
187,3
114,3
85,47
95,42
214,41
190,11
116,4
41,45
162,42
153,10
156,3
111,20
73,10
201,19
204,42
178,35
94,42
176,19
36,12
126,3
159,45
78,47
84,1
150,46
169,19
174,12
87,19
115,31
207,45
173,40
191,35
220,19
208,11
148,11
148,39
152,26
39,35
222,18
119,41
158,47
113,47
81,4
84,45
123,10
222,12
67,3
92,12
119,6
151,41
24,47
209,41
210,19
200,11
161,19
68,47
154,19
157,19
80,42
207,16
41,4
209,29
116,45
190,12
35,19
36,39
40,33
144,40
31,35
91,26
106,29
115,12
90,45
153,33
208,12
148,12
192,45
106,41
198,44
83,33
84,4
219,45
81,45
147,19
202,47
203,3
154,5
157,5
81,3
219,3
93,41
153,26
128,32
149,41
206,31
203,45
111,31
193,35
150,19
79,3
42,3
90,3
83,26
199,12
112,15
83,25
37,21
114,42
173,19
197,42
205,42
27,41
188,19
220,40
40,25
146,35
116,3
105,12
147,5
40,26
123,25
203,4
107,47
152,33
71,35
154,40
32,24
157,40
161,46
35,40
150,38
87,5
31,44
177,35
218,41
196,41
186,35
144,19
86,12
145,35
199,31
108,47
25,41
29,3
82,41
88,19
33,36
126,45
194,45
91,10
215,47
41,3
223,19
163,35
105,39
65,47
104,35
198,35
26,6
111,18
217,19
26,41
213,41
37,47
194,39
126,39
163,26
215,41
82,47
171,3
178,33
108,41
25,47
89,10
104,25
70,22
86,4
108,6
145,26
37,41
26,47
70,1
110,19
156,11
37,6
175,19
111,4
65,41
164,28
195,19
39,33
186,25
219,20
107,41
35,42
191,33
72,26
115,3
71,25
218,47
196,47
148,3
157,42
80,19
208,3
72,25
221,41
155,5
210,42
199,45
112,41
146,26
123,35
27,47
126,12
194,12
36,3
40,35
112,29
206,45
199,16
203,31
111,45
156,12
34,26
83,43
87,42
25,21
203,39
33,33
222,3
149,47
94,19
176,42
93,47
28,19
160,33
204,19
92,3
95,19
123,43
217,42
33,26
89,25
187,38
106,47
66,25
42,39
70,9
160,26
223,42
90,39
214,21
66,26
216,29
202,29
202,41
219,11
216,41
222,45
41,12
146,33
116,11
111,3
68,41
200,45
84,2
170,41
209,47
128,29
86,3
128,6
71,10
117,19
29,12
212,42
174,45
30,5
38,41
189,35
185,19
128,41
159,12
123,44
70,3
208,45
39,26
42,12
115,45
90,12
199,3
195,13
177,33
207,39
97,19
24,41
158,6
184,41
127,40
222,4
172,41
113,41
219,12
158,41
119,47
113,29
114,19
24,29
152,35
187,19
218,32
178,26
104,33
219,2
83,23
211,44
32,41
190,45
85,41
174,4
29,39
164,29
155,19
78,41
150,42
145,33
83,36
164,41
200,42
40,29
112,35
123,41
30,12
69,38
123,29
220,3
95,12
40,41
113,44
212,45
177,21
195,39
27,26
146,47
28,12
195,11
67,19
127,12
211,29
223,45
31,32
83,41
159,13
156,19
217,45
110,11
83,29
211,41
145,21
161,9
127,18
110,39
92,42
73,41
201,3
185,20
122,12
93,26
153,41
176,3
106,33
194,19
126,19
173,4
87,3
77,41
169,3
207,5
215,35
64,47
190,42
26,25
108,35
162,11
26,26
28,39
94,39
94,11
69,19
147,3
25,26
198,47
203,19
163,47
110,12
71,47
161,3
107,35
157,3
151,33
148,42
84,40
154,3
127,39
127,11
115,42
72,47
117,27
35,3
173,45
150,1
128,44
221,35
128,23
122,11
188,45
173,3
155,12
164,43
104,32
201,4
151,26
161,45
122,27
27,10
113,35
172,35
210,45
152,6
158,35
116,19
154,45
152,41
205,12
186,32
81,19
219,19
32,35
150,3
197,12
79,19
114,12
187,12
42,19
89,21
90,19
161,1
220,4
149,10
93,10
82,33
97,12
192,19
164,35
25,33
188,9
108,44
110,27
215,44
201,45
117,12
155,11
29,19
37,36
159,19
88,3
91,41
223,3
82,10
154,4
89,47
202,35
161,4
108,36
83,8
216,35
33,47
197,39
150,9
187,11
212,3
196,10
197,11
84,19
170,35
205,39
189,29
107,36
97,39
128,35
189,41
144,3
220,45
33,42
106,3
112,31
169,33
221,12
89,42
66,42
203,41
107,12
175,35
81,8
69,41
203,29
144,26
42,28
37,12
213,4
192,28
26,4
209,3
212,25
86,47
220,33
83,38
157,10
25,4
82,4
215,31
40,19
108,31
207,8
35,33
221,39
113,27
122,35
151,3
67,41
93,4
107,11
119,3
188,25
27,16
84,8
161,33
107,39
173,26
211,19
178,42
156,41
213,45
37,39
83,19
147,33
108,39
215,11
77,19
122,43
126,41
194,41
150,26
215,39
30,35
153,19
194,29
221,31
162,35
150,25
73,19
126,6
194,6
147,25
128,12
159,41
82,3
110,36
29,41
25,3
40,5
147,26
145,42
150,33
26,3
209,4
32,11
214,45
91,19
110,44
32,39
41,41
88,10
184,11
113,39
24,11
84,41
202,12
172,11
36,21
177,42
35,26
216,18
119,45
84,29
189,19
185,35
115,47
153,5
72,42
161,25
117,35
154,26
210,25
218,3
196,3
207,29
208,47
161,26
207,41
154,25
106,4
164,12
146,42
144,33
40,40
27,3
128,39
123,40
174,47
114,35
68,39
214,4
85,12
187,35
152,19
68,11
197,35
116,41
209,45
112,27
202,31
188,10
205,35
200,47
34,42
216,31
220,25
