gid,monitoring_started,monitoring_ended,longitude,latitude,district,name,ms_id,svp (manual),svp (auto),validity,area
195,2020-04-19,2020-10-19,11.8564744,44.4316841,RA,RA12,6.0,,1.86051572190186,valid,FC-RA-RN
251,2021-02-22,2021-10-25,11.3955411,44.7232868,BO,BO04,9.0,8.0,0.0507743082000508,valid,BO-FE
106,2020-04-19,2020-10-19,12.006047,44.247429,FC,FC03,6.0,13.0,5.04297682515504,valid,FC-RA-RN
483,2021-02-22,2021-10-25,11.989947,44.390806,RA,RA36,9.0,8.0,0.837776085300838,valid,FC-RA-RN
264,2021-02-22,2021-10-25,11.668875,44.358479,BO,BO17,9.0,30.0,21.5790809850216,valid,FC-RA-RN
305,2021-02-22,2021-10-25,11.7580788,44.8300904,FE,FE08,9.0,2.0,1.12972835745113,valid,BO-FE
80,2020-04-19,2020-10-19,11.8478407,44.9187958,FE,FE17,6.0,10.0,0.168643237950169,valid,BO-FE
318,2021-02-22,2021-10-25,11.5412124,44.8539655,FE,FE21,9.0,2.0,1.37090632140137,valid,BO-FE
452,2021-02-22,2021-10-25,12.0082071,44.5889244,FE,RA05,9.0,10.0,2.97029702970297,valid,FC-RA-RN
455,2021-02-22,2021-10-25,11.8698354,44.4217921,RA,RA08,9.0,3.0,0.368113734450368,valid,FC-RA-RN
470,2021-02-22,2021-10-25,11.87794,44.3105971,RA,RA23,9.0,3.0,3.07184564610307,valid,FC-RA-RN
209,2020-04-19,2020-10-19,11.8439968,44.3403604,RA,RA26,6.0,,0.0544010445000544,noisy,FC-RA-RN
110,2020-04-19,2020-10-19,12.3739173,44.158192,FC,FC07,6.0,,1.88771624415189,valid,FC-RA-RN
175,2020-04-19,2020-10-19,10.7614516,44.7694733,RE,MO32,6.0,20.0,12.1695136546622,invalid,MO-RE
370,2021-02-22,2021-10-25,12.024206,44.2523,FC,FC23,9.0,7.0,0.52043665905052,valid,FC-RA-RN
28,2020-04-19,2020-10-19,11.6612,44.6385,BO,BO05,6.0,10.0,3.35110434120335,valid,BO-FE
94,2020-04-19,2020-10-19,11.7148862,44.7209097,FE,FE31,6.0,5.0,2.04547927320205,valid,BO-FE
262,2021-02-22,2021-10-25,11.365889,44.663667,BO,BO15,9.0,1.0,0.241177963950241,valid,BO-FE
204,2020-04-19,2020-10-19,11.9167079,44.3496806,RA,RA21,6.0,5.0,3.93319551735393,valid,FC-RA-RN
362,2021-02-22,2021-10-25,12.055685,44.253028,FC,FC15,9.0,7.0,0.825082508250825,valid,FC-RA-RN
151,2020-04-19,2020-10-19,11.1583344,44.8604963,MO,MO08,6.0,4.0,0.31008595365031,valid,MO-RE
162,2020-04-19,2020-10-19,10.8154032,44.5753089,MO,MO19,6.0,4.0,0.576651071700577,valid,MO-RE
30,2020-04-19,2020-10-19,11.7551899,44.336251,BO,BO07,6.0,12.0,6.16363834185616,valid,FC-RA-RN
253,2021-02-22,2021-10-25,11.62741,44.6355722,BO,BO06,9.0,5.0,0.0888550393500889,valid,BO-FE
119,2020-04-19,2020-10-19,12.0513256,44.3654617,RA,FC16,6.0,19.0,4.02567729300403,valid,FC-RA-RN
399,2021-02-22,2021-10-25,10.8743731,44.7297694,MO,MO02,9.0,20.0,1.11703478040112,valid,MO-RE
356,2021-02-22,2021-10-25,12.0242263,44.3544632,RA,FC09,9.0,5.0,0.0634678852500635,valid,FC-RA-RN
299,2021-02-22,2021-10-25,11.7087481,44.7963039,FE,FE02,9.0,3.0,0.0126935770500127,valid,BO-FE
95,2020-04-19,2020-10-19,11.8882833,44.8326291,FE,FE32,6.0,0.0,0.0,valid,BO-FE
122,2020-04-19,2020-10-19,12.1405078,44.2121403,FC,FC19,6.0,5.0,0.544010445000544,valid,FC-RA-RN
